word,en,meaning,sentence,reading,romaji,synonyms,language
entender,to understand,Comprehend,No **entiendo** la pregunta. — I don’t **understand** the question.,,,,es
comprender,to understand,Full grasp,Él **comprende** la situación. — He **understands** the situation.,,,,es
conocer,to know/meet,Familiarity,Quiero **conocer** a tu hermano. — I want **to meet** your brother.,,,,es
pedir,to ask for/order,Request,Voy a **pedir** una pizza. — I am going **to order** a pizza.,,,,es
servir,to serve,Function,¿Para qué **sirve** esto? — What does this **serve** for?,,,,es
ayudar,to help,Assist,¿Puedo **ayudarte**? — Can I **help** you?,,,,es
perder,to lose,Misplace,Siempre **pierdo** el autobús. — I always **lose/miss** the bus.,,,,es
ganar,to win/earn,Gain,Él **gana** mucho dinero. — He **earns** a lot of money.,,,,es
pagar,to pay,Financial transaction,¿Dónde puedo **pagar**? — Where can I **pay**?,,,,es
comprar,to buy,Purchase,Quiero **comprar** pan. — I want **to buy** bread.,,,,es
vender,to sell,Trade,**Venden** fruta fresca. — They **sell** fresh fruit.,,,,es
leer,to read,Text processing,Me gusta **leer** de noche. — I like **to read** at night.,,,,es
escribir,to write,Compose text,**Escribe** tu nombre aquí. — **Write** your name here.,,,,es
correr,to run,Fast movement,**Corro** cada mañana. — I **run** every morning.,,,,es
caminar,to walk,Walking,Vamos a **caminar** por el parque. — Let’s **walk** through the park.,,,,es
dormir,to sleep,Rest,Necesito **dormir** ocho horas. — I need **to sleep** eight hours.,,,,es
jugar,to play,Games/Sports,Él **juega** al fútbol. — He **plays** football.,,,,es
tocar,to touch/play instrument,Contact/Music,Ella **toca** el piano. — She **plays** the piano.,,,,es
mesa,table,Furniture,El libro está en la **mesa**. — The book is on the **table**.,,,,es
silla,chair,Furniture,Siéntate en esa **silla**. — Sit in that **chair**.,,,,es
ventana,window,Building part,"Abre la **ventana**, por favor. — Open the **window**, please.",,,,es
cocina,kitchen,Room,Mamá está en la **cocina**. — Mom is in the **kitchen**.,,,,es
baño,bathroom,Room,¿Dónde está el **baño**? — Where is the **bathroom**?,,,,es
cama,bed,Furniture,La **cama** es muy cómoda. — The **bed** is very comfortable.,,,,es
ropa,clothes,Apparel,Tengo que lavar la **ropa**. — I have to wash the **clothes**.,,,,es
zapatos,shoes,Footwear,Mis **zapatos** son nuevos. — My **shoes** are new.,,,,es
teléfono,phone,Device,Contesta el **teléfono**. — Answer the **phone**.,,,,es
llave,key,Tool,No tengo la **llave**. — I don’t have the **key**.,,,,es
bolsa,bag,Container,Puse todo en la **bolsa**. — I put everything in the **bag**.,,,,es
reloj,watch/clock,Time device,¿Qué hora dice tu **reloj**? — What time does your **watch** say?,,,,es
tarjeta,card,Credit card/Tag,Pago con **tarjeta**. — I pay by **card**.,,,,es
papel,paper,Material,Necesito una hoja de **papel**. — I need a sheet of **paper**.,,,,es
pan,bread,Food staple,Comemos **pan** tostado. — We eat toasted **bread**.,,,,es
leche,milk,Drink,Café con **leche**. — Coffee with **milk**.,,,,es
café,coffee,Drink,"Un **café** solo, por favor. — A black **coffee**, please.",,,,es
té,tea,Drink,¿Prefieres café o **té**? — Do you prefer coffee or **tea**?,,,,es
fruta,fruit,Food,Me gusta la **fruta**. — I like **fruit**.,,,,es
manzana,apple,Fruit,Una **manzana** roja. — A red **apple**.,,,,es
huevo,egg,Food,Desayuno un **huevo**. — I eat an **egg** for breakfast.,,,,es
queso,cheese,Food,Un bocadillo de **queso**. — A **cheese** sandwich.,,,,es
carne,meat,Food,No como **carne**. — I don’t eat **meat**.,,,,es
pescado,fish,Food (caught),El **pescado** está fresco. — The **fish** is fresh.,,,,es
pollo,chicken,Food,Arroz con **pollo**. — Rice with **chicken**.,,,,es
arroz,rice,Food,El **arroz** está listo. — The **rice** is ready.,,,,es
sal,salt,Seasoning,Pásame la **sal**. — Pass me the **salt**.,,,,es
azúcar,sugar,Seasoning,"Sin **azúcar**, gracias. — Without **sugar**, thank you.",,,,es
desayuno,breakfast,Meal,El **desayuno** es importante. — **Breakfast** is important.,,,,es
almuerzo,lunch,Meal,Vamos a tomar el **almuerzo**. — Let’s have **lunch**.,,,,es
cena,dinner,Meal,¿Qué hay para la **cena**? — What is for **dinner**?,,,,es
sol,sun,Star,Hoy hace mucho **sol**. — It is very **sunny** today.,,,,es
luna,moon,Satellite,La **luna** está llena. — The **moon** is full.,,,,es
estrella,star,Space body,Veo una **estrella**. — I see a **star**.,,,,es
cielo,sky,Atmosphere,El **cielo** está azul. — The **sky** is blue.,,,,es
mar,sea,Water body,Me gusta el **mar**. — I like the **sea**.,,,,es
río,river,Water body,El **río** es profundo. — The **river** is deep.,,,,es
montaña,mountain,Landform,Subimos la **montaña**. — We climbed the **mountain**.,,,,es
árbol,tree,Plant,Un **árbol** muy alto. — A very tall **tree**.,,,,es
flor,flower,Plant part,Una **flor** amarilla. — A yellow **flower**.,,,,es
lluvia,rain,Precipitation,No me gusta la **lluvia**. — I don’t like the **rain**.,,,,es
viento,wind,Air movement,Hace mucho **viento**. — It is very **windy**.,,,,es
nieve,snow,Precipitation,Me encanta la **nieve**. — I love the **snow**.,,,,es
tierra,earth/land,Ground/Planet,La **tierra** está seca. — The **ground** is dry.,,,,es
animal,animal,Living creature,Mi **animal** favorito es el perro. — My favorite **animal** is the dog.,,,,es
tranquilo,calm/quiet,Peaceful,Un lugar **tranquilo**. — A **quiet** place.,,,,es
cansado,tired,Exhausted,Estoy muy **cansado**. — I am very **tired**.,,,,es
enfermo,sick,Ill,Él está **enfermo** hoy. — He is **sick** today.,,,,es
limpio,clean,Not dirty,El coche está **limpio**. — The car is **clean**.,,,,es
sucio,dirty,Not clean,Tu cuarto está **sucio**. — Your room is **dirty**.,,,,es
rápido,fast,Quick,Eres muy **rápido**. — You are very **fast**.,,,,es
lento,slow,Not fast,El internet es **lento**. — The internet is **slow**.,,,,es
caro,expensive,High cost,Es un reloj **caro**. — It is an **expensive** watch.,,,,es
barato,cheap,Low cost,Es muy **barato**. — It is very **cheap**.,,,,es
pobre,poor,No money,Un hombre **pobre**. — A **poor** man.,,,,es
rico,rich/delicious,Wealthy/Tasty,La comida está **rica**. — The food is **delicious**.,,,,es
fuerte,strong,Powerful,Él es muy **fuerte**. — He is very **strong**.,,,,es
débil,weak,Not strong,Me siento **débil**. — I feel **weak**.,,,,es
lleno,full,No space,El vaso está **lleno**. — The glass is **full**.,,,,es
vacío,empty,No content,La caja está **vacía**. — The box is **empty**.,,,,es
abierto,open,Accessible,La puerta está **abierta**. — The door is **open**.,,,,es
cerrado,closed,Not open,La tienda está **cerrada**. — The shop is **closed**.,,,,es
joven,young,Early age,Es una mujer **joven**. — She is a **young** woman.,,,,es
simpático,nice/friendly,Kind,Tu amigo es muy **simpático**. — Your friend is very **nice**.,,,,es
inteligente,intelligent,Smart,Un estudiante **inteligente**. — An **intelligent** student.,,,,es
rojo,red,Color,Una rosa **roja**. — A **red** rose.,,,,es
azul,blue,Color,El cielo es **azul**. — The sky is **blue**.,,,,es
verde,green,Color,La hierba es **verde**. — The grass is **green**.,,,,es
amarillo,yellow,Color,Un coche **amarillo**. — A **yellow** car.,,,,es
negro,black,Color,Zapatos **negros**. — **Black** shoes.,,,,es
blanco,white,Color,Una hoja **blanca**. — A **white** sheet.,,,,es
gris,gray,Color,El día está **gris**. — The day is **gray**.,,,,es
naranja,orange,Color/Fruit,Camiseta **naranja**. — **Orange** t-shirt.,,,,es
despacio,slowly,Manner,"Habla más **despacio**, por favor. — Speak more **slowly**, please.",,,,es
deprisa,quickly,Manner,Camina muy **deprisa**. — He walks very **quickly**.,,,,es
quizás,maybe,Possibility,**Quizás** vaya mañana. — **Maybe** I will go tomorrow.,,,,es
tal vez,perhaps,Possibility,**Tal vez** tenga razón. — **Perhaps** you are right.,,,,es
casi,almost,Degree,**Casi** termino. — I am **almost** finished.,,,,es
solamente,only,Just,Tengo **solamente** cinco euros. — I have **only** five euros.,,,,es
solo,only/alone,Just/Single,Estoy **solo** en casa. — I am **alone** at home.,,,,es
mientras,while,Simultaneous,Escucho música **mientras** estudio. — I listen to music **while** I study.,,,,es
aunque,although,Contrast,"**Aunque** llueva, iré. — **Although** it rains, I will go.",,,,es
luego,later,Afterward,Hasta **luego**. — See you **later**.,,,,es
pronto,soon,Early,¡Hasta **pronto**! — See you **soon**!,,,,es
tarde,late/afternoon,Time,Es muy **tarde**. — It is very **late**.,,,,es
temprano,early,Time,Me levanto **temprano**. — I get up **early**.,,,,es
a veces,sometimes,Frequency,**A veces** voy al cine. — **Sometimes** I go to the cinema.,,,,es
cuerpo,body,Anatomy,El **cuerpo** humano. — The human **body**.,,,,es
cabeza,head,Body part,Me duele la **cabeza**. — My **head** hurts.,,,,es
pelo,hair,Body part,Ella tiene el **pelo** largo. — She has long **hair**.,,,,es
cara,face,Body part,Lávate la **cara**. — Wash your **face**.,,,,es
nariz,nose,Body part,Mi **nariz** está roja. — My **nose** is red.,,,,es
boca,mouth,Body part,Cierra la **boca**. — Close your **mouth**.,,,,es
brazo,arm,Body part,Él tiene un **brazo** roto. — He has a broken **arm**.,,,,es
pierna,leg,Body part,Corrí tanto que me duelen las **piernas**. — I ran so much my **legs** hurt.,,,,es
pie,foot,Body part,Voy a **pie**. — I go on **foot** (walking).,,,,es
corazón,heart,Body part/Emotion,Escucha tu **corazón**. — Listen to your **heart**.,,,,es
sangre,blood,Body fluid,Donar **sangre**. — To donate **blood**.,,,,es
salud,health,Well-being,¡**Salud**! — **Health**! (Cheers / Bless you).,,,,es
dolor,pain,Sensation,Siento un **dolor** aquí. — I feel a **pain** here.,,,,es
escuela,school,Place of study,Los niños van a la **escuela**. — Children go to **school**.,,,,es
universidad,university,Higher education,Estudio en la **universidad**. — I study at the **university**.,,,,es
clase,class,Lesson,La **clase** de español. — The Spanish **class**.,,,,es
estudiante,student,Person,Soy **estudiante**. — I am a **student**.,,,,es
profesor,teacher,Person,El **profesor** es amable. — The **teacher** is kind.,,,,es
aprender,to learn,Gain knowledge,Quiero **aprender** más. — I want **to learn** more.,,,,es
estudiar,to study,Activity,Tengo que **estudiar** mucho. — I have **to study** a lot.,,,,es
oficina,office,Workplace,Trabajo en una **oficina**. — I work in an **office**.,,,,es
empresa,company,Business,Es una **empresa** grande. — It is a big **company**.,,,,es
negocio,business,Trade/Deal,Un buen **negocio**. — A good **business/deal**.,,,,es
ordenador,computer,Device (Spain),Mi **ordenador** es viejo. — My **computer** is old.,,,,es
computadora,computer,Device (LatAm),Prende la **computadora**. — Turn on the **computer**.,,,,es
internet,internet,Network,No hay **internet**. — There is no **internet**.,,,,es
mensaje,message,Communication,Te envié un **mensaje**. — I sent you a **message**.,,,,es
correo,mail,Postal/Digital mail,Tengo un **correo** nuevo. — I have a new **email**.,,,,es
viaje,trip/journey,Travel,¡Buen **viaje**! — Have a good **trip**!,,,,es
avión,airplane,Vehicle,El **avión** sale a las seis. — The **airplane** leaves at six.,,,,es
tren,train,Vehicle,Voy en **tren**. — I go by **train**.,,,,es
autobús,bus,Vehicle,Espera el **autobús**. — Wait for the **bus**.,,,,es
estación,station,Place,La **estación** de tren. — The train **station**.,,,,es
aeropuerto,airport,Place,El **aeropuerto** está lejos. — The **airport** is far away.,,,,es
billete,ticket,Document (Spain),Un **billete** de ida. — A one-way **ticket**.,,,,es
boleto,ticket,Document (LatAm),Compré el **boleto**. — I bought the **ticket**.,,,,es
maleta,suitcase,Travel bag,Hice mi **maleta**. — I packed my **suitcase**.,,,,es
hotel,hotel,Accommodation,Reservé un **hotel**. — I booked a **hotel**.,,,,es
playa,beach,Nature,Vamos a la **playa**. — Let’s go to the **beach**.,,,,es
vacaciones,vacation,Holiday,Necesito **vacaciones**. — I need a **vacation**.,,,,es
verdad,truth,Fact,Dime la **verdad**. — Tell me the **truth**.,,,,es
mentira,lie,Falsehood,Es una **mentira**. — It is a **lie**.,,,,es
amor,love,Feeling,El **amor** es ciego. — **Love** is blind.,,,,es
odio,hate,Feeling,No sientas **odio**. — Don’t feel **hate**.,,,,es
miedo,fear,Feeling,Tengo **miedo**. — I am **afraid**.,,,,es
sueño,dream/sleepiness,Sleep/Goal,Tengo mucho **sueño**. — I am very **sleepy**.,,,,es
paz,peace,Calm,Queremos la **paz**. — We want **peace**.,,,,es
suerte,luck,Fortune,¡Buena **suerte**! — Good **luck**!,,,,es
idea,idea,Thought,Es una buena **idea**. — It is a good **idea**.,,,,es
razón,reason,Logic/Correctness,Tienes **razón**. — You are **right**.,,,,es
problema,problem,Issue,No hay **problema**. — No **problem**.,,,,es
solución,solution,Answer,Busca la **solución**. — Look for the **solution**.,,,,es
cambio,change,Alteration/Exchange,Necesito un **cambio**. — I need a **change**.,,,,es
fuerza,force/strength,Power,La unión hace la **fuerza**. — Unity creates **strength**.,,,,es
luz,light,Brightness,Enciende la **luz**. — Turn on the **light**.,,,,es
minuto,minute,Time unit,Espera un **minuto**. — Wait a **minute**.,,,,es
segundo,second,Time unit/Order,Solo un **segundo**. — Just a **second**.,,,,es
hora,hour,Time unit,¿Qué **hora** es? — What **time** is it?,,,,es
semana,week,Time unit,La **semana** que viene. — Next **week**.,,,,es
mes,month,Time unit,Este **mes** es mayo. — This **month** is May.,,,,es
siglo,century,Time unit,El **siglo** veintiuno. — The twenty-first **century**.,,,,es
pasado,past,Time,En el **pasado**. — In the **past**.,,,,es
futuro,future,Time,Pensar en el **futuro**. — To think about the **future**.,,,,es
así,like this/that,Manner,Hazlo **así**. — Do it **like this**.,,,,es
bastante,enough/quite,Quantity,Es **bastante** caro. — It is **quite** expensive.,,,,es
demasiado,too much,Quantity,Es **demasiado** tarde. — It is **too** late.,,,,es
otro,other/another,Different,Quiero **otro** café. — I want **another** coffee.,,,,es
algún,some/any,Indefinite,¿Tienes **algún** plan? — Do you have **any** plan?,,,,es
ningún,none/not any,Negative,No tengo **ningún** dinero. — I don’t have **any** money.,,,,es
quien,who,Relative pronoun,Es ella **quien** llamó. — It is she **who** called.,,,,es
cuál,which,Question,¿**Cuál** es el tuyo? — **Which** one is yours?,,,,es
llamarse,to be named,Name identity,¿Cómo **te llamas**? — What is **your name**?,,,,es
levantarse,to get up,Rising from bed,Me **levanto** a las siete. — I **get up** at seven.,,,,es
sentarse,to sit down,Taking a seat,"**Siéntate** aquí, por favor. — **Sit down** here, please.",,,,es
sentirse,to feel,Internal emotion/state,Hoy **me siento** mucho mejor. — Today **I feel** much better.,,,,es
acostarse,to go to bed,Retiring for the night,Tengo que **acostarme** temprano. — I have to **go to bed** early.,,,,es
ducharse,to shower,Personal hygiene,Voy a **ducharme** ahora. — I am going to **shower** now.,,,,es
lavarse,to wash oneself,Cleaning a body part,**Lávate** las manos. — **Wash** your hands.,,,,es
despertarse,to wake up,Ceasing to sleep,Ella **se despierta** con el sol. — She **wakes up** with the sun.,,,,es
reírse,to laugh,Amusement,Él **se ríe** de mis chistes. — He **laughs** at my jokes.,,,,es
olvidarse,to forget,Loss of memory,**Me olvidé** de las llaves. — I **forgot** the keys.,,,,es
banco,bank,Financial institution,El **banco** está cerrado. — The **bank** is closed.,,,,es
parque,park,Green space,Caminamos por el **parque**. — We walk through the **park**.,,,,es
cine,cinema,Movie theater,¿Vamos al **cine** esta noche? — Are we going to the **cinema** tonight?,,,,es
hospital,hospital,Medical center,Trabajo en el **hospital**. — I work at the **hospital**.,,,,es
farmacia,pharmacy,Drugstore,Busco una **farmacia** de guardia. — I’m looking for an open **pharmacy**.,,,,es
biblioteca,library,Book collection,Estudio en la **biblioteca**. — I study in the **library**.,,,,es
museo,museum,Exhibition space,El **museo** es gratuito los domingos. — The **museum** is free on Sundays.,,,,es
tienda,shop/store,Retail space,Es una **tienda** de ropa. — It is a clothing **store**.,,,,es
supermercado,supermarket,Grocery store,Compro fruta en el **supermercado**. — I buy fruit at the **supermarket**.,,,,es
puente,bridge,Crossing structure,Cruza el **puente** viejo. — Cross the old **bridge**.,,,,es
iglesia,church,Religious building,La **iglesia** está en la plaza. — The **church** is in the square.,,,,es
plaza,square,Public space,Nos vemos en la **plaza**. — Let’s meet in the **square**.,,,,es
plato,plate/dish,Tableware,Un **plato** de sopa. — A **plate** of soup.,,,,es
vaso,glass,Drinking vessel,Un **vaso** de agua. — A **glass** of water.,,,,es
taza,cup/mug,Drinking vessel,Una **taza** de té. — A **cup** of tea.,,,,es
cuchillo,knife,Cutting tool,El **cuchillo** no corta bien. — The **knife** doesn’t cut well.,,,,es
cuchara,spoon,Eating tool,Necesito una **cuchara**. — I need a **spoon**.,,,,es
tenedor,fork,Eating tool,Usa el **tenedor**. — Use the **fork**.,,,,es
servilleta,napkin,Cleaning cloth,Dame una **servilleta**. — Give me a **napkin**.,,,,es
horno,oven,Cooking appliance,El pollo está en el **horno**. — The chicken is in the **oven**.,,,,es
nevera,fridge,Cooling appliance,La leche está en la **nevera**. — The milk is in the **fridge**.,,,,es
camisa,shirt,Top apparel,Una **camisa** blanca. — A white **shirt**.,,,,es
pantalones,pants,Bottom apparel,Llevo **pantalones** azules. — I am wearing blue **pants**.,,,,es
vestido,dress,One-piece apparel,Un **vestido** elegante. — An elegant **dress**.,,,,es
falda,skirt,Bottom apparel,Una **falda** corta. — A short **skirt**.,,,,es
chaqueta,jacket,Outerwear,Ponte la **chaqueta**. — Put on your **jacket**.,,,,es
abrigo,coat,Heavy outerwear,"Hace frío, lleva el **abrigo**. — It’s cold, wear the **coat**.",,,,es
sombrero,hat,Headwear,Un **sombrero** de paja. — A straw **hat**.,,,,es
bolsillo,pocket,Clothing compartment,Las llaves están en el **bolsillo**. — The keys are in the **pocket**.,,,,es
enojado,angry,Frustrated/Mad,Mi padre está **enojado**. — My father is **angry**.,,,,es
sorprendido,surprised,Amazed,Estoy **sorprendido** de verte. — I am **surprised** to see you.,,,,es
preocupado,worried,Anxious,Él está **preocupado** por el examen. — He is **worried** about the exam.,,,,es
aburrido,bored/boring,Lack of interest,La película es **aburrida**. — The movie is **boring**.,,,,es
nervioso,nervous,Anxious state,Estoy **nervioso** por la cita. — I am **nervous** about the date.,,,,es
orgulloso,proud,Self-satisfaction,Estoy **orgulloso** de ti. — I am **proud** of you.,,,,es
celoso,jealous,Envious,No seas **celoso**. — Don’t be **jealous**.,,,,es
amable,kind,Nice personality,Ella es muy **amable**. — She is very **kind**.,,,,es
valiente,brave,Courageous,Un soldado **valiente**. — A **brave** soldier.,,,,es
reunión,meeting,Group gathering,Tengo una **reunión** a las diez. — I have a **meeting** at ten.,,,,es
