word,en,meaning,sentence,reading,romaji,synonyms,language
野菜,vegetables,Edible plants,野菜をたくさん食べましょう。 — Let's eat lots of vegetables.,やさい,yasai,蔬菜 (sosai),ja
果物,fruit,Edible fruit,果物が好きです。 — I like fruit.,くだもの,kudamono,フルーツ (furuutsu),ja
りんご,apple,Apple fruit,りんごを一つ買いました。 — I bought one apple.,りんご,ringo,,ja
卵,egg,A chicken egg,卵を二つ割ります。 — I'll crack two eggs.,たまご,tamago,玉子 (tamago),ja
パン,bread,Bread,朝ごはんにパンを食べます。 — I eat bread for breakfast.,ぱん,pan,食パン (shokupan),ja
牛乳,milk,Cow's milk,毎朝牛乳を飲みます。 — I drink milk every morning.,ぎゅうにゅう,gyuunyuu,,ja
お茶,tea,ja green tea,お茶を飲みませんか。 — Would you like some tea?,おちゃ,ocha,緑茶 (ryokucha),ja
コーヒー,coffee,Coffee drink,毎朝コーヒーを飲みます。 — I drink coffee every morning.,こーひー,koohii,カフェ (kafe),ja
砂糖,sugar,Sugar for sweetening,コーヒーに砂糖を入れますか。 — Do you put sugar in your coffee?,さとう,satou,甘味料 (kanmiryou),ja
塩,salt,Table salt,塩を少し入れてください。 — Please add a little salt.,しお,shio,食塩 (shokuen),ja
弁当,lunch box,Packed lunch,母が弁当を作ってくれました。 — My mother made me a lunch box.,べんとう,bentou,,ja
料理,cooking,Cooking or a dish,日本料理が好きです。 — I like ja cuisine.,りょうり,ryouri,調理 (chouri),ja
朝ごはん,breakfast,Morning meal,朝ごはんを食べましたか。 — Did you eat breakfast?,あさごはん,asagohan,,ja
昼ごはん,lunch,Midday meal,昼ごはんは何を食べますか。 — What are you having for lunch?,ひるごはん,hirugohan,ランチ (ranchi),ja
晩ごはん,dinner,Evening meal,晩ごはんは七時に食べます。 — We eat dinner at seven.,ばんごはん,bangohan,夕食 (yuushoku),ja
お酒,alcohol,Alcoholic drink,お酒は飲みますか。 — Do you drink alcohol?,おさけ,osake,酒 (sake),ja
ラーメン,ramen,ja noodle soup,ラーメンを食べに行きましょう。 — Let's go eat ramen.,らーめん,raamen,,ja
寿司,sushi,Vinegared rice dish,寿司が一番好きな食べ物です。 — Sushi is my favorite food.,すし,sushi,,ja
頭,head,The head,頭が痛いです。 — I have a headache.,あたま,atama,頭部 (toubu),ja
手,hand,The hand,手を洗ってください。 — Please wash your hands.,て,te,掌 (tenohira),ja
目,eye,The eye,目が大きいですね。 — You have big eyes.,め,me,眼 (me),ja
耳,ear,The ear,耳が痛いです。 — My ear hurts.,みみ,mimi,,ja
口,mouth,The mouth,口を開けてください。 — Please open your mouth.,くち,kuchi,唇 (kuchibiru),ja
鼻,nose,The nose,鼻が高いですね。 — You have a tall nose.,はな,hana,鼻腔 (bikou),ja
足,leg / foot,The leg or foot,足が疲れました。 — My legs are tired.,あし,ashi,脚 (ashi),ja
体,body,The physical body,体に気をつけてください。 — Please take care of your health.,からだ,karada,身体 (shintai),ja
顔,face,The face,顔を洗いました。 — I washed my face.,かお,kao,面 (tsura),ja
歯,tooth,A tooth,歯を磨きます。 — I brush my teeth.,は,ha,,ja
指,finger,A finger or toe,指を切ってしまいました。 — I accidentally cut my finger.,ゆび,yubi,手指 (yubi),ja
お腹,stomach,The stomach or belly,お腹が空きました。 — I'm hungry.,おなか,onaka,腹 (hara),ja
背中,back,The back of the body,背中が痛いです。 — My back hurts.,せなか,senaka,背 (se),ja
心,heart / mind,The heart or spirit,心が温かくなりました。 — My heart was warmed.,こころ,kokoro,気持ち (kimochi),ja
赤,red,The color red,赤い花が咲いています。 — Red flowers are blooming.,あか,aka,朱 (shu),ja
青,blue,The color blue,空が青いです。 — The sky is blue.,あお,ao,蒼 (ao),ja
白,white,The color white,白い雲が見えます。 — I can see white clouds.,しろ,shiro,白色 (hakushoku),ja
黒,black,The color black,黒い猫がいます。 — There is a black cat.,くろ,kuro,黒色 (kokushoku),ja
緑,green,The color green,緑のお茶が好きです。 — I like green tea.,みどり,midori,緑色 (midoriiro),ja
黄色,yellow,The color yellow,黄色い花がきれいです。 — The yellow flowers are beautiful.,きいろ,kiiro,黄 (ki),ja
茶色,brown,The color brown,茶色の靴を履いています。 — I'm wearing brown shoes.,ちゃいろ,chairo,褐色 (kasshoku),ja
ピンク,pink,The color pink,ピンクのシャツを買いました。 — I bought a pink shirt.,ぴんく,pinku,桃色 (momoiro),ja
食べる,to eat,To consume food,朝ごはんを食べる。 — I eat breakfast.,たべる,taberu,,ja
飲む,to drink,To consume liquid,水を飲む。 — I drink water.,のむ,nomu,呑む (nomu),ja
行く,to go,To move to a place,学校に行く。 — I go to school.,いく,iku,,ja
来る,to come,To move toward speaker,友達が家に来る。 — A friend is coming to my house.,くる,kuru,,ja
する,to do,To perform an action,宿題をする。 — I do my homework.,する,suru,,ja
見る,to see,To look at or watch,テレビを見る。 — I watch TV.,みる,miru,,ja
聞く,to listen,To hear or ask,音楽を聞く。 — I listen to music.,きく,kiku,耳を傾ける (mimi o katamukeru),ja
話す,to speak,To talk or speak,日本語を話す。 — I speak ja.,はなす,hanasu,述べる (noberu),ja
書く,to write,To write text,手紙を書く。 — I write a letter.,かく,kaku,記す (shirusu),ja
読む,to read,To read text,本を読む。 — I read a book.,よむ,yomu,,ja
買う,to buy,To purchase,お土産を買う。 — I buy souvenirs.,かう,kau,購入する (kounyuu suru),ja
寝る,to sleep,To go to sleep,十一時に寝る。 — I go to bed at eleven.,ねる,neru,眠る (nemuru),ja
起きる,to wake up,To get up from sleep,毎朝六時に起きる。 — I wake up at six every morning.,おきる,okiru,,ja
歩く,to walk,To move on foot,公園を歩く。 — I walk through the park.,あるく,aruku,歩行する (hokou suru),ja
走る,to run,To move quickly on foot,毎朝走る。 — I run every morning.,はしる,hashiru,駆ける (kakeru),ja
働く,to work,To do labor,会社で働く。 — I work at a company.,はたらく,hataraku,,ja
遊ぶ,to play,To play or have fun,友達と遊ぶ。 — I hang out with friends.,あそぶ,asobu,楽しむ (tanoshimu),ja
待つ,to wait,To wait for something,ここで待つ。 — I'll wait here.,まつ,matsu,待機する (taiki suru),ja
作る,to make,To create or cook,ケーキを作る。 — I make a cake.,つくる,tsukuru,,ja
使う,to use,To utilize something,パソコンを使う。 — I use a computer.,つかう,tsukau,利用する (riyou suru),ja
思う,to think,To have a thought,いい考えだと思う。 — I think it's a good idea.,おもう,omou,,ja
知る,to know,To have knowledge,その人を知っていますか。 — Do you know that person?,しる,shiru,,ja
持つ,to hold,To carry or possess,荷物を持つ。 — I carry the luggage.,もつ,motsu,手に持つ (te ni motsu),ja
住む,to live,To reside in a place,東京に住む。 — I live in Tokyo.,すむ,sumu,暮らす (kurasu),ja
座る,to sit,To sit down,椅子に座る。 — I sit on a chair.,すわる,suwaru,腰掛ける (koshikakeru),ja
立つ,to stand,To stand up,ここに立つ。 — I stand here.,たつ,tatsu,,ja
入る,to enter,To go inside,部屋に入る。 — I enter the room.,はいる,hairu,入場する (nyuujou suru),ja
出る,to leave,To go out,家を出る。 — I leave the house.,でる,deru,,ja
帰る,to return,To go home,家に帰る。 — I go home.,かえる,kaeru,戻る (modoru),ja
開ける,to open,To open something,窓を開ける。 — I open the window.,あける,akeru,開く (hiraku),ja
閉める,to close,To close something,ドアを閉める。 — I close the door.,しめる,shimeru,閉じる (tojiru),ja
教える,to teach,To teach or tell,英語を教える。 — I teach English.,おしえる,oshieru,指導する (shidou suru),ja
勉強する,to study,To study or learn,毎日日本語を勉強する。 — I study ja every day.,べんきょうする,benkyou suru,学ぶ (manabu),ja
洗う,to wash,To clean with water,手を洗う。 — I wash my hands.,あらう,arau,清める (kiyomeru),ja
着る,to wear,To put on clothes,コートを着る。 — I put on a coat.,きる,kiru,身に着ける (mi ni tsukeru),ja
脱ぐ,to take off,To remove clothing,靴を脱ぐ。 — I take off my shoes.,ぬぐ,nugu,,ja
乗る,to ride,To get on transport,バスに乗る。 — I get on the bus.,のる,noru,搭乗する (toujou suru),ja
降りる,to get off,To get off transport,次の駅で降りる。 — I get off at the next station.,おりる,oriru,,ja
会う,to meet,To encounter someone,友達に会う。 — I meet a friend.,あう,au,面会する (menkai suru),ja
始まる,to begin,To start (intransitive),授業が始まる。 — Class begins.,はじまる,hajimaru,開始する (kaishi suru),ja
終わる,to end,To finish (intransitive),仕事が終わる。 — Work ends.,おわる,owaru,完了する (kanryou suru),ja
泳ぐ,to swim,To swim in water,プールで泳ぐ。 — I swim in the pool.,およぐ,oyogu,水泳する (suiei suru),ja
歌う,to sing,To sing a song,カラオケで歌う。 — I sing at karaoke.,うたう,utau,,ja
笑う,to laugh,To laugh or smile,面白くて笑う。 — It's funny and I laugh.,わらう,warau,微笑む (hohoemu),ja
泣く,to cry,To shed tears,悲しくて泣く。 — I'm sad and I cry.,なく,naku,涙を流す (namida o nagasu),ja
払う,to pay,To make a payment,お金を払う。 — I pay money.,はらう,harau,支払う (shiharau),ja
送る,to send,To send or give,手紙を送る。 — I send a letter.,おくる,okuru,発送する (hassou suru),ja
届く,to arrive,To be delivered,荷物が届く。 — The package arrives.,とどく,todoku,着く (tsuku),ja
忘れる,to forget,To fail to remember,傘を忘れる。 — I forget my umbrella.,わすれる,wasureru,見落とす (miotoosu),ja
覚える,to remember,To memorize,漢字を覚える。 — I memorize kanji.,おぼえる,oboeru,記憶する (kioku suru),ja
大きい,big,Large in size,この家は大きいです。 — This house is big.,おおきい,ookii,巨大な (kyodai na),ja
小さい,small,Small in size,小さい猫がいます。 — There is a small cat.,ちいさい,chiisai,,ja
新しい,new,Recently made,新しい靴を買いました。 — I bought new shoes.,あたらしい,atarashii,最新の (saishin no),ja
古い,old,"Not new, aged",この建物は古いです。 — This building is old.,ふるい,furui,,ja
良い,good,Of high quality,天気が良いです。 — The weather is nice.,よい,yoi,素晴らしい (subarashii),ja
悪い,bad,Of poor quality,天気が悪いです。 — The weather is bad.,わるい,warui,最悪な (saiaku na),ja
暑い,hot (weather),High temperature weather,今日は暑いです。 — It's hot today.,あつい,atsui,,ja
寒い,cold (weather),Low temperature weather,冬は寒いです。 — Winter is cold.,さむい,samui,,ja
高い,expensive / tall,High in price or height,このレストランは高いです。 — This restaurant is expensive.,たかい,takai,,ja
安い,cheap,Low in price,この店は安いです。 — This shop is cheap.,やすい,yasui,格安の (kakuyasu no),ja
長い,long,Extended in length,髪が長いですね。 — Your hair is long.,ながい,nagai,延長した (enchou shita),ja
短い,short,Not long in length,時間が短いです。 — There isn't much time.,みじかい,mijikai,短小な (tanshounna),ja
美味しい,delicious,Tastes good,この料理は美味しいです。 — This dish is delicious.,おいしい,oishii,うまい (umai),ja
まずい,bad tasting,Tastes bad,この薬はまずいです。 — This medicine tastes bad.,まずい,mazui,,ja
楽しい,fun,Enjoyable,旅行は楽しいです。 — Traveling is fun.,たのしい,tanoshii,愉しい (tanoshii),ja
嬉しい,happy,Feeling glad,プレゼントをもらって嬉しいです。 — I'm happy to receive a present.,うれしい,ureshii,喜ばしい (yorokobashii),ja
悲しい,sad,Feeling sorrow,悲しい映画を見ました。 — I watched a sad movie.,かなしい,kanashii,,ja
忙しい,busy,Having much to do,今週は忙しいです。 — I'm busy this week.,いそがしい,isogashii,多忙な (tabou na),ja
難しい,difficult,Hard to do,日本語は難しいです。 — ja is difficult.,むずかしい,muzukashii,困難な (konnan na),ja
易しい,easy,Simple to do,この問題は易しいです。 — This problem is easy.,やさしい,yasashii,簡単な (kantan na),ja
優しい,kind,Gentle and caring,彼はとても優しい人です。 — He is a very kind person.,やさしい,yasashii,温かい (atatakai),ja
広い,wide / spacious,Large in area,この部屋は広いです。 — This room is spacious.,ひろい,hiroi,大きな (ookina),ja
狭い,narrow,Small in area,この道は狭いです。 — This road is narrow.,せまい,semai,小さな (chiisana),ja
近い,near,Close in distance,駅は近いです。 — The station is nearby.,ちかい,chikai,隣接している (rinsetsu shite iru),ja
遠い,far,Distant in space,空港は遠いです。 — The airport is far away.,とおい,tooi,,ja
早い,early / fast,Quick or early in time,朝早い時間に出発します。 — I'll depart early in the morning.,はやい,hayai,速い (hayai),ja
遅い,late / slow,Behind in time,電車が遅いです。 — The train is late.,おそい,osoi,のろい (noroi),ja
強い,strong,Having great power,風が強いです。 — The wind is strong.,つよい,tsuyoi,,ja
弱い,weak,Lacking strength,体が弱いです。 — My body is weak.,よわい,yowai,力のない (chikara no nai),ja
若い,young,Not old in age,彼女は若いです。 — She is young.,わかい,wakai,年少の (nenshounno),ja
静か,quiet,Without noise,図書館は静かです。 — The library is quiet.,しずか,shizuka,穏やか (odayaka),ja
有名,famous,Well known,この寺は有名です。 — This temple is famous.,ゆうめい,yuumei,著名な (chomei na),ja
元気,energetic,In good health and spirits,今日は元気です。 — I'm feeling great today.,げんき,genki,健康な (kenkou na),ja
綺麗,beautiful / clean,Pretty or tidy,この花は綺麗です。 — This flower is beautiful.,きれい,kirei,美しい (utsukushii),ja
便利,convenient,Easy to use,この駅は便利です。 — This station is convenient.,べんり,benri,役立つ (yakutatsu),ja
家,house,A dwelling place,新しい家に引っ越しました。 — I moved to a new house.,いえ,ie,住居 (juukyo),ja
学校,school,Educational institution,学校は八時に始まります。 — School starts at eight.,がっこう,gakkou,学び舎 (manabiya),ja
駅,station,Train station,駅まで歩きます。 — I walk to the station.,えき,eki,停車場 (teishajou),ja
店,shop,A store,あの店は安いです。 — That shop is cheap.,みせ,mise,商店 (shouten),ja
道,road,A path or street,この道はまっすぐです。 — This road is straight.,みち,michi,通り (toori),ja
電車,train,Electric train,電車で会社に行きます。 — I go to work by train.,でんしゃ,densha,列車 (ressha),ja
車,car,An automobile,新しい車を買いました。 — I bought a new car.,くるま,kuruma,自動車 (jidousha),ja
電話,telephone,A phone,電話をかけます。 — I'll make a phone call.,でんわ,denwa,携帯 (keitai),ja
お金,money,Currency,お金が足りません。 — I don't have enough money.,おかね,okane,,ja
仕事,work / job,Employment or task,仕事が終わりました。 — Work is finished.,しごと,shigoto,業務 (gyoumu),ja
名前,name,A person's name,お名前は何ですか。 — What is your name?,なまえ,namae,,ja
友達,friend,A companion,友達と映画を見ます。 — I'm going to watch a movie with a friend.,ともだち,tomodachi,仲間 (nakama),ja
先生,teacher,An instructor,先生に質問があります。 — I have a question for the teacher.,せんせい,sensei,教師 (kyoushi),ja
学生,student,A person who studies,大学の学生です。 — I'm a university student.,がくせい,gakusei,生徒 (seito),ja
本,book,A written work,本を読むのが好きです。 — I like reading books.,ほん,hon,書物 (shomotsu),ja
映画,movie,A film,映画を見に行きましょう。 — Let's go see a movie.,えいが,eiga,フィルム (firumu),ja
音楽,music,Musical sounds,音楽を聞いています。 — I'm listening to music.,おんがく,ongaku,楽曲 (gakkyoku),ja
写真,photo,A photograph,写真を撮ってもいいですか。 — May I take a photo?,しゃしん,shashin,画像 (gazou),ja
部屋,room,A room in a building,部屋を掃除します。 — I'll clean the room.,へや,heya,室 (shitsu),ja
窓,window,A window,窓を開けてください。 — Please open the window.,まど,mado,,ja
ドア,door,A door,ドアを閉めてください。 — Please close the door.,どあ,doa,扉 (tobira),ja
椅子,chair,A seat,椅子に座ってください。 — Please have a seat.,いす,isu,腰掛け (koshikake),ja
机,desk,A desk or table,机の上に本があります。 — There is a book on the desk.,つくえ,tsukue,,ja
鍵,key,A key for a lock,鍵を忘れました。 — I forgot my key.,かぎ,kagi,,ja
傘,umbrella,Rain protection,傘を持っていきましょう。 — Let's bring an umbrella.,かさ,kasa,,ja
荷物,luggage,Bags or belongings,荷物が重いです。 — The luggage is heavy.,にもつ,nimotsu,荷 (ni),ja
切符,ticket,A travel ticket,切符を買いました。 — I bought a ticket.,きっぷ,kippu,乗車券 (joshakou),ja
地図,map,A map,地図を見てください。 — Please look at the map.,ちず,chizu,略図 (ryakuzu),ja
花,flower,A flower plant,花がきれいに咲いています。 — The flowers are blooming beautifully.,はな,hana,花卉 (kaki),ja
木,tree,A tree,大きい木があります。 — There is a big tree.,き,ki,樹木 (jumoku),ja
山,mountain,A mountain,富士山は高い山です。 — Mt. Fuji is a tall mountain.,やま,yama,山岳 (sangaku),ja
川,river,A river,川で魚を釣ります。 — I fish in the river.,かわ,kawa,,ja
海,sea,The ocean,夏に海に行きます。 — I go to the beach in summer.,うみ,umi,大海 (taikai),ja
空,sky,The sky above,空が青いです。 — The sky is blue.,そら,sora,天空 (tenkuu),ja
国,country,A nation,どの国に行きたいですか。 — Which country do you want to visit?,くに,kuni,国家 (kokka),ja
人,person,A human being,あの人は誰ですか。 — Who is that person?,ひと,hito,方 (kata),ja
男,man,An adult male,あの男の人は背が高いです。 — That man is tall.,おとこ,otoko,男性 (dansei),ja
女,woman,An adult female,あの女の人は優しいです。 — That woman is kind.,おんな,onna,女性 (josei),ja
言葉,word / language,A word or words,新しい言葉を覚えました。 — I learned a new word.,ことば,kotoba,語 (go),ja
手紙,letter,A written letter,友達に手紙を書きます。 — I write a letter to a friend.,てがみ,tegami,書簡 (shokan),ja
新聞,newspaper,A news publication,毎朝新聞を読みます。 — I read the newspaper every morning.,しんぶん,shinbun,新聞紙 (shinbunshi),ja
問題,problem,An issue or question,この問題は難しいです。 — This problem is difficult.,もんだい,mondai,課題 (kadai),ja
答え,answer,A reply or solution,答えが分かりません。 — I don't know the answer.,こたえ,kotae,回答 (kaitou),ja
意味,meaning,The significance of something,この言葉の意味は何ですか。 — What does this word mean?,いみ,imi,意義 (igi),ja
趣味,hobby,A leisure activity,趣味は読書です。 — My hobby is reading.,しゅみ,shumi,好み (konomi),ja
天気,weather,Weather conditions,今日の天気はいいです。 — The weather is nice today.,てんき,tenki,気候 (kikou),ja
雨,rain,Rainfall,午後から雨が降ります。 — It will rain from the afternoon.,あめ,ame,降雨 (kouu),ja
雪,snow,Snowfall,雪が降っています。 — It's snowing.,ゆき,yuki,降雪 (kousetsu),ja
風,wind,Moving air,今日は風が強いです。 — The wind is strong today.,かぜ,kaze,風気 (fuuki),ja
曇り,cloudy,Overcast sky,明日は曇りです。 — Tomorrow will be cloudy.,くもり,kumori,曇天 (donten),ja
晴れ,sunny,Clear sky,今日は晴れです。 — It's sunny today.,はれ,hare,晴天 (seiten),ja
台風,typhoon,A tropical storm,台風が近づいています。 — A typhoon is approaching.,たいふう,taifuu,,ja
気温,temperature,Air temperature,今日の気温は三十度です。 — Today's temperature is thirty degrees.,きおん,kion,,ja
服,clothes,Clothing in general,新しい服を買いました。 — I bought new clothes.,ふく,fuku,衣服 (ifuku),ja
靴,shoes,Footwear,靴を履いてください。 — Please put on your shoes.,くつ,kutsu,履き物 (hakimono),ja
帽子,hat,Head covering,帽子をかぶります。 — I put on a hat.,ぼうし,boushi,冠 (kanmuri),ja
シャツ,shirt,An upper body garment,白いシャツを着ています。 — I'm wearing a white shirt.,しゃつ,shatsu,,ja
ズボン,pants,Trousers,黒いズボンを履いています。 — I'm wearing black pants.,ずぼん,zubon,パンツ (pantsu),ja
コート,coat,An outer garment,寒いのでコートを着ます。 — It's cold so I'll wear a coat.,こーと,kooto,外套 (gaitou),ja
眼鏡,glasses,Eyeglasses,眼鏡をかけています。 — I'm wearing glasses.,めがね,megane,めがね (megane),ja
靴下,socks,Foot coverings,靴下を洗いました。 — I washed the socks.,くつした,kutsushita,ソックス (sokkusu),ja
猫,cat,A domestic cat,猫が好きです。 — I like cats.,ねこ,neko,猫ちゃん (neko chan),ja
犬,dog,A domestic dog,犬と散歩します。 — I take a walk with my dog.,いぬ,inu,わんこ (wanko),ja
鳥,bird,A bird,鳥が歌っています。 — The birds are singing.,とり,tori,小鳥 (kotori),ja
馬,horse,A horse,馬に乗りたいです。 — I want to ride a horse.,うま,uma,馬匹 (bahiki),ja
牛,cow,A cow,牛が草を食べています。 — The cow is eating grass.,うし,ushi,雌牛 (meushi),ja
