word,en,meaning,sentence,reading,romaji,synonyms,language
noemen,to name,To give a name,Ze **noemen** hem Jan. — They **call** him Jan.,,,heten;aanduiden;betitelen,nl
begrijpen,to understand,To comprehend,Ik **begrijp** het niet. — I do not **understand** it.,,,snappen;verstaan;vatten,nl
belangrijk,important,Of great value,Dit is een **belangrijk** besluit. — This is an **important** decision.,,,wezenlijk;essentieel;significant,nl
weg,away / road,Not present,De kat is **weg**. — The cat is **gone**.,,,afwezig;verdwenen;spoorloos,nl
nodig,necessary,Required,Ik heb hulp **nodig**. — I **need** help.,,,vereist;onmisbaar;essentieel,nl
leggen,to lay,To put something down,Ze **legt** het boek op tafel. — She **lays** the book on the table.,,,plaatsen;zetten;neerleggen,nl
uur,hour,Time unit,Ik ben hier al een **uur**. — I have been here for an **hour**.,,,tijdstip;tijdseenheid,nl
schrijven,to write,To produce text,Hij **schrijft** elke dag in zijn dagboek. — He **writes** in his diary every day.,,,noteren;opschrijven;neerschrijven,nl
zaak,matter,Issue or business,Dit is een ernstige **zaak**. — This is a serious **matter**.,,,kwestie;issue;geval,nl
bijna,almost,Nearly,We zijn er **bijna**. — We are **almost** there.,,,vrijwel;nagenoeg;zo goed als,nl
land,country,Nation,Nederland is een klein **land**. — The Netherlands is a small **country**.,,,staat;natie;vaderland,nl
alsof,as if,Comparison,Hij doet **alsof** hij slaapt. — He acts **as if** he is sleeping.,,,net alsof;als,nl
net,just / neat / net,Recently,Ze is **net** vertrokken. — She has **just** left.,,,pas;juist;zojuist,nl
proberen,to try,To attempt,Ik **probeer** het opnieuw. — I **try** it again.,,,trachten;pogen;ondernemen,nl
erg,very / bad,Degree word,Het is **erg** koud vandaag. — It is **very** cold today.,,,heel;zeer;enorm,nl
naam,name,Identifier,Wat is jouw **naam**? — What is your **name**?,,,benaming;aanduiding;betiteling,nl
halen,to get / to fetch / to pass,To fetch,Kun jij de boodschappen **halen**? — Can you **get** the groceries?,,,ophalen;meenemen;meebrengen,nl
heen,to (direction),Movement,We gaan op en **heen**. — We are going back and forth.,,,weg;richting,nl
zetten,to put,To place,Ze **zet** de vaas op de tafel. — She **puts** the vase on the table.,,,plaatsen;leggen;stellen,nl
zat,fed up/enough,Enough or annoyed,Ik ben het **zat**. — I am **fed up** with it.,,,genoeg;beu;moe,nl
gebruiken,to use,To utilize,Ik **gebruik** elke dag de fiets. — I **use** the bicycle every day.,,,toepassen;benutten;aanwenden,nl
soort,kind/type,Category,Wat voor **soort** muziek houd jij van? — What **kind** of music do you like?,,,type;categorie;variant,nl
slechts,only,Just,Er zijn **slechts** tien plaatsen over. — There are **only** ten seats left.,,,enkel;alleen;uitsluitend,nl
werken,to work,To do a job,Ze **werkt** vijf dagen per week. — She **works** five days a week.,,,arbeiden;functioneren;actief zijn,nl
hoog,high,Height adjective,De berg is erg **hoog**. — The mountain is very **high**.,,,verheven;torenhoog;opgeheven,nl
vol,full,Filled,De trein is **vol**. — The train is **full**.,,,bezet;gevuld;overlopend,nl
helemaal,completely,Fully,Het huis is **helemaal** schoon. — The house is **completely** clean.,,,geheel;totaal;volledig,nl
juist,correct / precisely / exactly,Right,Dat is **juist**. — That is **correct**.,,,correct;goed;nauwkeurig,nl
welk,which,Question word,**Welk** boek heb jij gelezen? — **Which** book did you read?,,,wat voor;die;dat,nl
binnen,inside,Interior,Kom **binnen** het is warm hier. — Come **inside** it is warm here.,naar binnen;in;inpandig;naar binnen;in;inpandig,nl
sterk,strong,Powerful,Hij is heel **sterk**. — He is very **strong**.,,,krachtig;robuust;gespierd,nl
waar,where/true,Place or truth,**Waar** woon jij? — **Where** do you live?,,,ergens;welke plek,nl
deel,part,Section,Dit is een **deel** van het verhaal. — This is a **part** of the story.,,,stuk;gedeelte;fragment,nl
echt,really,Truly,Is dit **echt** waar? — Is this **really** true?,,,werkelijk;inderdaad;waarachtig,nl
boek,book,Reading material,Ik lees een spannend **boek**. — I am reading an exciting **book**.,,,roman;werk;publicatie,nl
snel,fast,Speed,De auto rijdt erg **snel**. — The car drives very **fast**.,,,vlug;rap;vliegensvlug,nl
spelen,to play,Game or activity,De kinderen **spelen** buiten. — The children are **playing** outside.,,,gamen;recreëren;ravotten,nl
aantal,number/amount,Quantity,Een groot **aantal** mensen kwamen. — A large **number** of people came.,,,hoeveelheid;kwantiteit;totaal,nl
gebeuren,to happen,Occur,Wat is hier **gebeurd**? — What **happened** here?,,,plaatsvinden;voorkomen;geschieden,nl
deur,door,Entrance,De **deur** staat open. — The **door** is open.,,,toegang;ingang;poort,nl
manier,way/manner,Method,Dat is een goede **manier** om het te doen. — That is a good **way** to do it.,,,methode;wijze;aanpak,nl
ding,thing,Object,Dat is een vreemd **ding**. — That is a strange **thing**.,,,object;zaak;item,nl
nee,no,Negative answer,**Nee** dat wil ik niet. — **No** I do not want that.,neen;absoluut niet;weigering;neen;absoluut niet,nl
uw,your (formal),Possessive formal,Is dit **uw** jas? — Is this **your** coat?,,,van u;uw eigen,nl
kamer,room,Space in house,Mijn **kamer** is klein maar gezellig. — My **room** is small but cosy.,,,ruimte;zaal;vertrek,nl
water,water,Liquid,Ik drink graag **water**. — I like to drink **water**.,,,vloeistof;H2O;drank,nl
allemaal,all,Everyone/everything,We zijn **allemaal** blij. — We are **all** happy.,,,iedereen;allen;heel de groep,nl
tweede,second,Ordinal number,Dit is de **tweede** keer. — This is the **second** time.,,,volgende;opvolgende,nl
jongen,boy,Young male,De **jongen** speelt voetbal. — The **boy** plays football.,,,knaap;jochie;jongeling,nl
naast,next to,Position,Hij zit **naast** mij. — He sits **next to** me.,,,bij;dichtbij;vlakbij,nl
meisje,girl,Young female,Het **meisje** danst graag. — The **girl** likes to dance.,,,meid;dame;juffer,nl
roepen,to call/shout,To shout,Hij **roept** om hulp. — He **calls** out for help.,,,schreeuwen;schallen;uitroepen,nl
